id,ชุด,ชนิด,type,correct,เลขที่ต้องมี,เลขที่พบในเฉลย,ร้อยละในเฉลย,ร้อยละในโจทย์,ธง,ตัวอย่างเลขที่หาย,given 120 ตัวอักษร
chap-01-set-q77,chap-01-set,รูป,mc,0,2,2,100%,100%,🔵 โจทย์มีเลขครบ,,
chap-01-set-q78,chap-01-set,รูป,fill,11,2,2,100%,100%,🔵 โจทย์มีเลขครบ,,
chap-01-set-q80,chap-01-set,รูป,fill,"10, 70, 180, 230, 110",10,10,100%,60%,🟢 น่าจะเห็น,,
chap-02-logic-q104,chap-02-logic,รูป,mc,0,2,0,0%,0%,🔴 ไม่เคยเห็น,60 11,
chap-02-logic-q106,chap-02-logic,รูป,fill,เท็จ,6,2,33%,33%,🟠 น่าสงสัย,90 1565 0392 32,
chap-02-logic-q107,chap-02-logic,รูป,mc,2,3,0,0%,0%,🔴 ไม่เคยเห็น,120 0392 32,
chap-02-logic-q108,chap-02-logic,รูป,mc,2,6,2,33%,0%,🟠 น่าสงสัย,60 11 32 72,
chap-02-logic-q110,chap-02-logic,รูป,mc,3,7,3,42%,0%,🟠 น่าสงสัย,100 1565 32 72,
chap-02-logic-q111,chap-02-logic,รูป,mc,3,6,3,50%,0%,🟢 น่าจะเห็น,60 36 72,
chap-02-logic-q112,chap-02-logic,รูป,mc,2,11,4,36%,0%,🟠 น่าสงสัย,64 40 2.5 224 1565 32,
chap-02-logic-q113,chap-02-logic,รูป,mc,2,9,3,33%,0%,🟠 น่าสงสัย,60 36 32 224 1565 65100,
chap-02-logic-q116,chap-02-logic,รูป,fill,ไม่สมมูล,3,0,0%,0%,🔴 ไม่เคยเห็น,90 0392 32,
chap-02-logic-q46,chap-02-logic,รูป,mc,3,4,0,0%,0%,🔴 ไม่เคยเห็น,-1 60 11 32,
chap-02-logic-q59,chap-02-logic,รูป,mc,3,5,2,40%,40%,🟠 น่าสงสัย,90 0392 32,
chap-02-logic-q63,chap-02-logic,รูป,mc,2,3,1,33%,0%,🟠 น่าสงสัย,60 11,
chap-02-logic-q66,chap-02-logic,รูป,mc,1,4,0,0%,0%,🔴 ไม่เคยเห็น,60 11 32 75,
chap-02-logic-q68,chap-02-logic,รูป,mc,3,14,8,57%,0%,🟢 น่าจะเห็น,60 11 32 235 1565 65100,
chap-02-logic-q69,chap-02-logic,รูป,mc,3,7,2,28%,0%,🟠 น่าสงสัย,60 11 32 75 1565,
chap-02-logic-q70,chap-02-logic,รูป,mc,3,4,0,0%,0%,🔴 ไม่เคยเห็น,60 11 32 75,
chap-02-logic-q71,chap-02-logic,รูป,mc,3,6,2,33%,16%,🟠 น่าสงสัย,60 36 11 32,
chap-03-realnumber-q116,chap-03-realnumber,รูป,mc,0,3,1,33%,0%,🟠 น่าสงสัย,66 32,
chap-03-realnumber-q118,chap-03-realnumber,รูป,mc,1,5,1,20%,0%,🟠 น่าสงสัย,60 36 32 1565,
chap-03-realnumber-q129,chap-03-realnumber,รูป,fill,"(1, 2) ∪ (3, 4)",3,1,33%,0%,🟠 น่าสงสัย,60 36,
chap-03-realnumber-q139,chap-03-realnumber,รูป,fill,-5,5,2,40%,0%,🟠 น่าสงสัย,60 36 32,
chap-03-realnumber-q140,chap-03-realnumber,รูป,mc,3,5,2,40%,20%,🟠 น่าสงสัย,108 555 32,
chap-03-realnumber-q141,chap-03-realnumber,รูป,mc,2,5,3,60%,0%,🟢 น่าจะเห็น,86 36,
chap-03-realnumber-q142,chap-03-realnumber,รูป,mc,1,5,2,40%,0%,🟠 น่าสงสัย,0.333333 66 32,
chap-03-realnumber-q143,chap-03-realnumber,รูป,fill,"(2, 4.5)",4,2,50%,0%,🟢 น่าจะเห็น,60 32,
chap-03-realnumber-q145,chap-03-realnumber,รูป,mc,2,3,0,0%,0%,🔴 ไม่เคยเห็น,60 36 11,
